Utbildningsområde,2013,2014,2015,2016,2017,2018,2019,2020
Data/It,77.0,78.0,84.0,91.0,90.0,90.0,84.0,84.0
"Ekonomi, administration och försäljning",90.0,91.0,93.0,94.0,94.0,96.0,91.0,90.0
Friskvård och kroppsvård,88.0,85.0,90.0,92.0,95.0,89.0,83.0,87.0
"Hotell, restaurang och turism",86.0,88.0,88.0,89.0,86.0,91.0,74.0,76.0
Hälso- och sjukvård samt socialt arbete,92.0,95.0,96.0,95.0,95.0,93.0,93.0,94.0
Journalistik och information,86.0,92.0,88.0,94.0,85.0,93.0,84.0,80.0
Juridik,93.0,92.0,94.0,97.0,94.0,89.0,84.0,81.0
"Kultur, media och design",84.0,83.0,83.0,86.0,84.0,80.0,79.0,80.0
"Lantbruk, djurvård, trädgård, skog och fiske",87.0,88.0,87.0,92.0,92.0,96.0,92.0,94.0
Pedagogik och undervisning,93.0,92.0,97.0,96.0,87.0,91.0,75.0,81.0
Samhällsbyggnad och byggteknik,89.0,91.0,95.0,95.0,96.0,94.0,90.0,91.0
Säkerhetstjänster,83.0,92.0,87.0,88.0,91.0,84.0,87.0,91.0
Teknik och tillverkning,83.0,86.0,89.0,93.0,93.0,92.0,84.0,86.0
Transporttjänster,91.0,88.0,93.0,96.0,97.0,93.0,87.0,92.0
Totalt alla utbildningsområden,87.0,89.0,91.0,93.0,93.0,93.0,87.0,89.0
