Utbildningsområde,2013,2014,2015,2016,2017,2018,2019,2020
Data/It,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"Ekonomi, administration och försäljning",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Friskvård och kroppsvård,5.0,6.0,5.0,6.0,5.0,7.5,10.0,9.0
"Hotell, restaurang och turism",2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0
Hälso- och sjukvård samt socialt arbete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Journalistik och information,9.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0
Juridik,6.0,5.0,4.0,3.0,3.0,5.0,6.0,9.0
"Kultur, media och design",3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0
"Lantbruk, djurvård, trädgård, skog och fiske",3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0
Pedagogik och undervisning,4.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0
Samhällsbyggnad och byggteknik,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Säkerhetstjänster,6.0,7.0,6.0,5.0,4.0,9.0,6.0,4.0
Teknik och tillverkning,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Transporttjänster,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0
Totalt alla utbildningsområden,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
